reference_model,comparator_model,reference_rps,comparator_rps,delta_rps_reference_minus_comparator,ci_2_5,ci_97_5,bootstrap_replicates,prediction_date_blocks,held_out_matches,estimand,bootstrap_unit,seed
Elo + Poisson 50/50,Validation-selected Elo 25% / Poisson 75%,0.20280939139586257,0.20378394141417353,-0.0009745500183109546,-0.0020122795928777986,4.906062503203771e-05,20000,460,1520,per-match mean RPS,prediction-date block,20260903
Elo + Poisson 50/50,Elo,0.20280939139586257,0.20440565236768032,-0.0015962609718177534,-0.0035950032934981466,0.00040950673592258846,20000,460,1520,per-match mean RPS,prediction-date block,20260903
Elo + Poisson 50/50,Dixon-Coles,0.20280939139586257,0.20592710384496513,-0.0031177124491025554,-0.005229944451630457,-0.0010465638764409124,20000,460,1520,per-match mean RPS,prediction-date block,20260903
Elo + Poisson 50/50,Independent Poisson,0.20280939139586257,0.20594027843529764,-0.003130887039435065,-0.005243910467644753,-0.0010611100483785346,20000,460,1520,per-match mean RPS,prediction-date block,20260903
Elo + Poisson 50/50,Market benchmark,0.20280939139586257,0.19479678475673237,0.008012606639130199,0.005031125227154163,0.011013119364601514,20000,460,1520,per-match mean RPS,prediction-date block,20260903
Elo + Poisson 50/50,Base rate,0.20280939139586257,0.23162296656365136,-0.02881357516778879,-0.034628509262799013,-0.02288774792592946,20000,460,1520,per-match mean RPS,prediction-date block,20260903
